Wall time,Step,Value
1684260670.9281886,3007,2.736624240875244
1684260671.068817,3009,2.738089084625244
1684260671.2093713,3011,2.7394328117370605
1684260671.485646,3015,2.7380874156951904
1684260671.567521,3016,2.737948417663574
1684260671.7613575,3019,2.7363531589508057
1684260672.1987917,3025,2.735459327697754
1684260672.339345,3027,2.734774112701416
1684260672.5424218,3030,2.7331125736236572
1684260673.1125786,3038,2.729703426361084
1684260673.2532022,3040,2.7329888343811035
1684260673.3156586,3041,2.735729217529297
1684260673.3781388,3042,2.73824405670166
1684260673.9401193,3050,2.7393105030059814
1684260674.9780777,3065,2.735546827316284
1684260675.103051,3067,2.735013008117676
1684260675.2592614,3069,2.7332684993743896
1684260675.399853,3071,2.7325968742370605
1684260675.5404491,3073,2.733905076980591
1684260676.1575058,3082,2.7430784702301025
1684260676.454258,3086,2.741471290588379
1684260677.368156,3099,2.74007248878479
1684260677.6493688,3103,2.7382829189300537
1684260678.9561844,3122,2.741487503051758
1684260679.981458,3137,2.7454888820648193
1684260680.0595999,3138,2.745642900466919
1684260680.4500952,3144,2.745720386505127
1684260680.512584,3145,2.7459466457366943
1684260680.6375518,3147,2.7464733123779297
1684260680.8562531,3150,2.7475879192352295
1684260681.176529,3155,2.7482762336730957
1684260681.3796048,3158,2.747631072998047
1684260681.4421244,3159,2.7474467754364014
1684260681.5670607,3161,2.7472944259643555
1684260682.6688159,3177,2.744889259338379
1684260683.1686978,3184,2.750472068786621
1684260683.4499147,3188,2.748936653137207
1684260683.9188492,3195,2.747032642364502
1684260683.9969509,3196,2.746971845626831
1684260684.4812152,3203,2.7427239418029785
1684260684.6888754,3206,2.7419350147247314
1684260686.3995607,3230,2.7523205280303955
1684260686.6105464,3233,2.752624273300171
1684260687.110433,3240,2.7513720989227295
1684260687.3733354,3243,2.7507667541503906
1684260687.4358635,3244,2.7509212493896484
1684260687.5764441,3246,2.7518410682678223
1684260687.6545208,3247,2.752164125442505
1684260688.154908,3254,2.7537684440612793
1684260688.295455,3256,2.7538352012634277
1684260689.053213,3267,2.753185510635376
1684260689.4047318,3272,2.7521824836730957
1684260690.03091,3281,2.7533740997314453
1684260690.1715035,3283,2.753410816192627
1684260690.3120933,3285,2.7547848224639893
1684260690.5776594,3289,2.7557506561279297
1684260690.7885208,3292,2.7552502155303955
1684260691.6741464,3305,2.7507855892181396
1684260691.7366784,3306,2.7497243881225586
1684260691.8147788,3307,2.748581647872925
1684260692.2131147,3313,2.745577573776245
1684260692.7598991,3321,2.749556303024292
1684260693.2541673,3327,2.7502760887145996
1684260693.3166525,3328,2.7503838539123535
1684260693.3954,3329,2.7512574195861816
1684260693.668107,3333,2.7560465335845947
1684260693.9961386,3338,2.755959987640381
1684260694.4883518,3345,2.754309892654419
1684260695.027241,3353,2.755126476287842
1684260695.3084235,3357,2.7562777996063232
1684260695.589607,3361,2.75624418258667
1684260695.730199,3363,2.755805730819702
1684260696.2680037,3369,2.7555930614471436
1684260696.561083,3372,2.7556040287017822
1684260696.75277,3374,2.755141496658325
1684260696.9246037,3376,2.7545809745788574
1684260697.1120594,3378,2.754059076309204
1684260697.424486,3381,2.754088878631592
1684260697.93234,3386,2.7609505653381348
1684260699.082829,3398,2.7567026615142822
1684260699.590479,3403,2.754373073577881
1684260700.0873272,3408,2.7510318756103516
1684260701.5012527,3426,2.7511146068573
1684260701.8059099,3430,2.7519824504852295
